Sample	Fws
PD0134-C	0.9990935
PD0135-C	0.9983728
PD0136-C	0.998632
PD0137-C	0.9988039
PD0138-C	0.9987903
PD0139-C	0.9986594
PD0140-C	0.9978298
PD0141-C	0.9988539
PD0142-C	0.9991904
PD0143-C	0.9991114
PD0144-C	0.99785393
PD0145-C	0.9996793
PD0459-Cx	0.99195206
PD0460-C	0.8647793
PD0461-C	0.99850667
PD0462-C	0.999409
PD0464-C	0.76344025
PD0466-C	0.8874414
PD0467-C	0.99931496
PD0469-C	0.56424665
PD0470-C	0.99844253
PD0471-C	0.9990087
PD0472-C	0.9979894
PD0473-C	0.97468674
PD0474-C	0.99895453
PD0475-C	0.98888654
PD0476-C	0.9969743
PD0477-C	0.9981184
PD0478-C	0.9981794
PD0480-C	0.996088
PD0481-C	0.9989212
PD0482-C	0.83154887
PD0483-C	0.99911755
PD0484-C	0.7590545
PD0485-C	0.63215786
PD0487-C	0.9992935
PD0488-C	0.9987687
PD0489-C	0.58055294
PD0490-C	0.99971986
PD0491-C	0.727194
PD0492-C	0.66907215
PD0493-C	0.8233466
PD0494-C	1.0
PD0495-C	0.9857728
PD0496-C	0.9994399
PD0497-C	0.99893314
PD0498-C	0.9999381
PD0499-C	0.4848048
PD0500-C	0.9987314
PD0501-C	0.99895924
PD0502-C	0.99978673
PD0503-C	0.9998049
PD0504-C	0.99803036
PD0505-C	0.998282
PD0506-C	0.99732524
PD0507-C	0.9955498
PD0508-C	0.9979964
PD0509-Cx2	0.99818444
PD0510-C	0.99355555
PD0511-C	0.99828
PD0512-C	0.9979053
PD0513-C	0.99889916
PD0514-C	0.9981549
PD0515-C	0.8651127
PD0516-C	0.9992053
PD0517-C	0.54588443
PD0518-C	0.99694383
PD0519-C	0.7326879
PD0520-C	0.9996241
PD0521-C	0.9997471
PD0522-C	0.9991003
PD0523-C	0.99993455
PD0524-C	0.9781233
PD0525-C	0.99948406
PD0526-C	0.83898795
PD0527-C	0.9989143
PD0528-C	0.9998138
PD0529-C	0.9984361
PD0530-C	0.9993415
PD0531-C	0.8866335
PD0532-C	0.9995655
PD0533-C	0.9987243
PD0534-C	0.871801
PD0535-C	0.99997467
PD0536-C	0.7270595
PD0537-C	0.86721814
PD0538-C	0.8973035
PD0539-C	0.9986409
PD0540-C	0.9590827
PD0541-C	0.9974629
PD0543-C	0.9973175
PD0544-C	0.9992162
PD0545-C	0.96738034
PD0546-C	0.99831975
PD0547-C	0.9983398
PD0548-C	0.9972534
PD0549-C	0.9990526
PD0550-C	0.99677527
PD0552-C	0.9991426
PD0553-C	0.9987411
PD0554-C	0.75965935
PD0555-C	0.99725354
PD0556-C	0.99818283
PD0557-C	0.9931553
PD0558-C	0.99834716
PD0559-C	0.9899504
PD0561-C	0.9991775
PD0562-C	0.96585345
PD0563-C	0.9991789
PD0564-C	0.9972153
PD0565-C	0.9996466
PD0566-C	0.6727603
PD0567-C	0.9948228
PD0569-C	0.9982061
PD0570-C	0.999303
PD0571-C	0.9987538
PD0572-C	0.99673307
PD0573-C	0.9994035
PD0574-C	0.999141
PD0575-C	0.99982417
PD0576-C	0.9608676
PD0577-C	0.6474875
PD0578-C	0.99965584
PD0579-C	0.9999469
PD0580-C	0.99981517
PD0581-C	0.9989666
PD0582-C	0.999692
PD0583-C	0.99846005
PD0584-C	0.99908704
PD0585-C	0.9569745
PD0586-C	0.99998975
PD0587-C	0.9987575
PD0589-C	0.9961844
PD0590-C	0.9986056
PD0591-C	0.9029642
PD0592-C	0.604256
PD0626-C	0.9970962
PD0627-C	0.9990716
PD0629-C	0.99905103
PD0630-C	0.99885845
PD0632-C	0.9982529
PD0635-C	0.99777544
PD0636-C	0.99519634
PD0637-C	0.9994086
PD0638-C	0.9933993
PD0648-C	0.9970214
PD0651-C	0.9990642
PD0658-C	0.9998494
PD0659-C	0.9997968
PD0662-C	0.99963456
PD0663-C	0.99984753
PD0664-C	0.99956584
PD0667-C	0.55311304
PD0668-C	0.9999078
PD0670-C	1.0
PD0716-C	0.99901116
PD0717-C	0.99858934
PD0718-C	0.9983596
PD0720-C	0.982219
PD0721-C	0.99985975
PD0722-C	0.99853647
PD0724-C	0.9993579
PD0725-C	0.9660103
PD0726-C	0.9995055
PD0727-C	0.9982371
PD0728-C	0.99903506
PD0729-C	0.83979785
PD0730-C	0.99915683
PD0731-C	0.99978733
PD0733-C	0.9989207
PD0734-C	0.9991328
PD0735-C	0.9986268
PD0740-C	0.8778266
PD0741-C	0.9764431
PD0742-C	0.9995393
PD0744-C	0.9989711
PD0745-C	0.9996687
PD0746-C	0.9991122
PD0747-C	0.9991566
PD0748-C	0.99935716
PD0749-C	0.9989737
PD0750-C	0.99834913
PD0751-C	0.9993064
PD0754-C	0.99660045
PD0755-C	0.9727817
PD0758-C	0.9997653
PD0760-C	0.9996691
PD0761-C	0.9977521
PD0762-C	0.9993963
PD0765-C	0.74482006
PD0766-C	0.99950075
PD0767-C	0.9968362
PD0771-C	0.9464518
PD0772-C	0.994446
PD0774-C	0.99913937
PD0775-C	0.5625766
PD0776-C	0.9983922
PD0777-C	0.998825
PD0781-C	0.9979885
PD0782-C	0.9998029
PD0785-C	0.99969983
PD0786-C	0.99952966
PD0787-C	0.9970345
PD0789-C	0.81006986
PD0790-C	0.99829894
PD0791-C	0.9990769
PD0792-C	0.99908406
PD0793-C	0.9980956
PD0794-C	0.99900454
PD0795-C	0.9997708
PD0796-C	0.9979429
PD0798-C	0.9979561
PD0799-C	0.99883807
PD0800-C	0.9994268
PD0801-C	0.9982989
